,titles,core_product_type,modifier,color,condition,occasion,product_name,department,UoM,material,content,shape,quantity,time,creator
0,Magenta Sword with Glowing Edge,['sword'],['glowing'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
1,Magenta Sword with Decorative Hilt,['sword'],['decorative'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
2,Magenta Sword for LARPing,['sword'],['larping'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
3,Magenta Sword with Custom Engravings,['sword'],['custom'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
4,Magenta Sword with Dual-Edge Blade,['sword'],"['dual', 'edge']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
5,Magenta Sword with Leather Sheath,"['sword', 'sheath']",[],['magenta'],[],[],[],[],[],['leather'],[],[],[],[],[]
6,Magenta Sword Featuring Unique Patterns,['sword'],"['featuring', 'unique', 'patterns']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
7,Magenta Sword with Magnetic Properties,['sword'],"['magnetic', 'properties']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
8,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
9,Magenta Sword with Training Features,['sword'],['training'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
10,Magenta Sword with Illuminated Blade,['sword'],['illuminated'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
11,Magenta Sword with Custom Engraving,['sword'],"['custom', 'engraving']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
12,Magenta Sword with Scabbard,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
13,Magenta Sword for Collectors,['sword'],[],['magenta'],[],[],[],['collectors'],[],[],[],[],[],[],[]
14,Magenta Sword with Decorative Stand,['sword'],"['decorative', 'stand']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
15,Magenta Sword with Dual-edge Design,['sword'],['dual'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
16,Magenta Sword with Removable Pommel,['sword'],['removable'],['magenta'],[],[],[],[],[],[],[],[],[],[],[]
17,Magenta Sword for Historical Reenactments,['sword'],[],['magenta'],[],[],[],[],[],[],[],[],[],['historicalct'],[]
18,Magenta Sword with High Carbon Steel Blade,['sword'],['high'],['magenta'],[],[],[],[],[],"['carbon', 'steel']",[],[],[],[],[]
19,Magenta Sword with Unique Grip,['sword'],"['unique', 'grip']",['magenta'],[],[],[],[],[],[],[],[],[],[],[]
