product,created_at,core_product_type,modifier,creator,department,occasion,color,material,product_name,content,origin,UoM,time,condition,quantity,shape,product_number,price,ts,attribute,core_product_type_string
wedding accessories,Fri Jun 23 12:53:21 +0000 2023,['accessories'],[],[],[],['wedding'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-23 12:53:21,accessories ,accessories 
fashion magazines subscription,Thu Jun 22 11:29:37 +0000 2023,['magazines'],"['fashion', 'subscription']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-22 11:29:37,fashion ,magazines 
men's style accessories,Thu Jun 22 11:29:37 +0000 2023,['accessories'],['style'],[],"['men', ""'"", 's']",[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-22 11:29:37,accessories ,accessories 
Second Life Accessories Pack,Sun Jun 25 14:54:48 +0000 2023,['accessories'],[],"['second', 'life']",[],[],[],[],[],[],[],[],[],[],['pack'],[],[],[],2023-06-25 14:54:48,accessories ,accessories 
Ayla and Moore fashion accessories,Mon Jun 26 06:28:20 +0000 2023,['accessories'],['fashion'],"['ayla', 'moore']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-26 06:28:20,fashion accessories ,accessories 
fashion accessories,Fri Jun 23 06:50:20 +0000 2023,['accessories'],['fashion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-23 06:50:20,fashion accessories ,accessories 
Fashion Streetwear,Sun Jun 25 23:35:54 +0000 2023,[],[],"['fashion', 'streetwear']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-25 23:35:54,fashion ,
travel accessories set,Thu Jun 22 21:16:09 +0000 2023,['accessories'],[],[],[],['travel'],[],[],[],[],[],[],[],[],['set'],[],[],[],2023-06-22 21:16:09,accessories ,accessories 
high-fashion travel outfit,Thu Jun 22 21:16:09 +0000 2023,['outfit'],"['high', 'fashion']",[],[],['travel'],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-22 21:16:09,fashion ,outfit 
fashion photography book,Sun Jun 25 04:57:42 +0000 2023,['book'],['fashion'],[],[],[],[],[],['photography'],[],[],[],[],[],[],[],[],[],2023-06-25 04:57:42,fashion ,book 
travel photography accessories,Sun Jun 25 04:57:42 +0000 2023,['accessories'],[],[],[],"['travel', 'photography']",[],[],[],[],[],[],[],[],[],[],[],[],2023-06-25 04:57:42,accessories ,accessories 
Japanese fashion clothing,Sun Jun 25 04:57:42 +0000 2023,['clothing'],['fashion'],[],[],[],[],[],[],[],['japanese'],[],[],[],[],[],[],[],2023-06-25 04:57:42,fashion ,clothing 
Rock 'n' Roll Accessories,Sat Jun 24 12:14:19 +0000 2023,['accessories'],[],"['rock', 'n', 'roll']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],2023-06-24 12:14:19,accessories ,accessories 
Berlin Retro Style Accessories,Fri Jun 23 22:25:33 +0000 2023,['accessories'],"['retro', 'style']",[],[],[],[],[],[],[],['berlin'],[],[],[],[],[],[],[],2023-06-23 22:25:33,accessories ,accessories 
Fashion Blog Bestsellers,Sun Jun 25 20:09:01 +0000 2023,[],[],"['fashion', 'blog']",[],[],[],[],['bestsellers'],[],[],[],[],[],[],[],[],[],2023-06-25 20:09:01,fashion ,
