query_id,query,query_count
0,Earmuffs,100
1,Headwear,100
2,Stylish earmuffs,97
3,Women's earwarmers,100
4,Fleece earmuffs,91
5,Knit earmuffs,68
6,Designer earmuffs,100
7,Warm earmuffs,95
8,Leather earmuffs,38
9,Electric earmuffs,100
10,Windproof earmuffs,88
11,Thermal earmuffs,100
12,Furry earmuffs women,100
13,Plush ear protectors,60
14,Sports ear covers,64
15,Fashionable women's earmuffs,87
16,Adjustable women's earmuffs,100
17,Ladies winter earwear,74
18,Earmuffs with headphones,66
19,Earmuffs for running,86
20,Waterproof winter earmuffs,77
21,No-slip earmuffs ladies,85
22,Innovative warming earmuffs,49
23,Ear muffs with fur,100
24,Foldable travel earmuffs,67
25,Earmuffs with knit design,24
26,Bluetooth audio earmuffs,71
27,Earmuffs in pastel colors,44
28,Convertible earmuffs headband,46
29,Active noise-cancelling earmuffs,66
30,Winter earmuffs with pompoms,46
31,Ear protection from cold,66
32,Earmuffs and matching gloves,34
33,Outdoor sports thermal earmuffs,100
34,Fashion earmuffs with jewels,43
35,Earmuffs for extreme cold,100
36,Heated earmuffs rechargeable battery,55
37,Cable knit ear warmers,43
38,Animal print earmuffs women,100
39,Adjustable headband plush earmuffs,100
40,High-quality shearling women's earmuffs,100
41,Earmuffs with detachable parts,100
42,Women's earmuffs for winter sports,100
43,Bluetooth wireless earmuffs for music,63
44,Wind-resistant earmuffs for cycling,48
45,Women's earmuffs with elegant designs,70
46,Soft faux fur earmuffs for women,77
47,Contemporary women's earmuffs with patterns,57
48,Belts,52
50,Leather belts,100
51,Belt buckles,100
52,Women's waistbands,20
53,Designer belts,100
54,Stretch belts,100
55,Skinny belts,100
56,Studded belts,13
57,Wide belts,39
58,Chain belts,100
59,Belt sale,66
60,Vintage leather belts,13
61,High-waisted belts,100
62,Braided leather belts,9
63,Plus size belts,20
64,Fashion waist belts,100
65,Women's belt size,18
66,Elastic cinch belts,25
67,Western style belts,19
68,Black patent belt,100
69,Embossed leather belts,12
70,Women's reversible belts,17
71,Metallic gold belt,20
72,Belt for dress,21
73,Women's belts for jeans,48
74,Animal print belts,100
75,Custom made belts,72
76,Adjustable no buckle belt,34
77,Thin brown belt,23
78,Woven fabric belts women,100
79,Curved buckle free belt,100
80,Large size belts women,51
81,Handmade artisan belts,23
82,Formal belts for gowns,39
83,Unlined Women’s Work Coveralls,100
84,Winter Maternity Jackets,100
85,Handmade Beaded ID Bracelets,100
86,Boho Style Necklace,100
87,Summer formal dresses,100
88,Leather keyrings,100
89,Women's mittens and scarves sets,100
90,Multipurpose women’s winter gaiter,100
91,Lace bridal fans,100
92,Maternity Pullover,100
93,Tennis Jewelry,100
94,Women's sports winter mittens,100
95,Women's golf skorts,100
96,Floral bucket hats,100
97,Convertible Strap Camisoles,100
98,Women's summer slippers,100
99,Luxury Italian Charm Bracelets,100
100,Lightweight running skirt,100
101,Summer Breeze Lightweight Vests,100
102,Latest women's skate shoe designs,100
103,Exclusive Designer Women's Blazers Sale,100
104,Cotton Knit Long Nightgown,100
105,Fashionable raincoats women,100
106,Women's Mesh Polo Shirts,100
107,Minimizer bra without wire,100
108,Chic Maternity Skirt Sets,100
109,Waterproof mittens,100
110,Rash guards,100
111,Half-slips with elegant lace details,100
112,Trendy Patterns in Women's Cardigans,100
113,Designer bikini panties collection,100
114,Machine washable bras,100
115,Double Gem Nipple Barbells,100
116,Moisture-wicking bras,100
117,Birkin bags,100
118,Women's Sports Collared,100
119,Lightweight spring dresses,100
120,women's cotton hipster panties,100
121,Women's thermal mountaineering boots,100
122,Plugs and Tunnels Sale,100
123,Durable Water Shoes,100
124,Breathable warm women's mittens,100
125,Women's Oxfords Wingtips,100
126,Maternity to Nursing Beachwear,100
127,Quilted leather backpack handbags women,100
128,Naturalizer Heeled Sandals,100
129,Women's walking shoes sale,100
130,Trail vs Road,100
131,Sustainable Faux Fur Options,100
132,baseball tee women,100
133,Veil with comb attached,100
134,High support sports bras,100
135,Timeless elegance in professional women's suit styles,100
136,Heated gloves,100
137,Maternity,100
138,Women's Straw Sunhats,100
139,Women's lacrosse shoe sale,100
140,Women's mid-calf snow boots,100
141,Affordable High Quality Wedge Sandals,100
142,Denim Bustiers Crop Top,100
143,Handcrafted Bohemian Flower Headbands,100
144,Winter peacoat women's,100
145,Wrinkle-resistant women's work pants,100
146,Best slimming control panties,100
147,Versatile maternity pants for every trimester,100
148,Rompers with puff sleeves trend,100
149,Designer leather over-the-knee boots,100
150,Black satchel bag,100
151,Satin formal dress,100
152,Bridal tanga underwear,100
153,Leather strap watch,100
154,Outdoor wedding paddle fans,100
155,Suede mules women,100
156,Brassieres,100
157,Women's Windbreakers,100
158,Lightweight Women's Sneakers,100
159,Water-resistant running sweater tops,100
160,Stylish Women's Gauged Plugs,100
161,Workout ready top bottom,100
162,Heirloom Quality Diamond Rings,99
163,Silk Tank,100
164,Personalized Case,100
165,Faux Fur Shawl Collar,100
166,Watch accessories,100
167,Unique statement cuff bracelets,100
168,various sizes available women underwear,100
169,Gemstone pendant necklace,100
170,High Heel Wedge Sandals,100
171,Women’s Adjustable Beaded Strand Bracelets,100
172,Maternity Bikinis,100
173,Breathable full slips for summer,100
